number,name,status
625,Filename of a Source Distribution,"Standards Track, Accepted"
649,Deferred Evaluation Of Annotations Using Descriptors,"Standards Track, Accepted"
658,Serve Distribution Metadata in the Simple Repository API,"Standards Track, Accepted"
668,Marking Python base environments as “externally managed”,"Standards Track, Accepted"
685,Comparison of extra names for optional distribution dependencies,"Standards Track, Accepted"
686,Make UTF-8 mode default,"Standards Track, Accepted"
687,Isolating modules in the standard library,"Standards Track, Accepted"
691,JSON-based Simple API for Python Package Indexes,"Standards Track, Accepted"
699,Remove private dict version field added in PEP 509,"Standards Track, Accepted"
701,Syntactic formalization of f-strings,"Standards Track, Accepted"
703,Making the Global Interpreter Lock Optional in CPython,"Standards Track, Accepted"
714,Rename dist-info-metadata in the Simple API,"Standards Track, Accepted"
753,Uniform project URLs in core metadata,"Standards Track, Accepted"
467,Minor API improvements for binary sequences,"Standards Track, Draft"
480,Surviving a Compromise of PyPI: End-to-end signing of packages,"Standards Track, Draft"
603,Adding a frozenmap type to collections,"Standards Track, Draft"
638,Syntactic Macros,"Standards Track, Draft"
653,Precise Semantics for Pattern Matching,"Standards Track, Draft"
661,Sentinel Values,"Standards Track, Draft"
671,Syntax for late-bound function argument defaults,"Standards Track, Draft"
679,Allow parentheses in assert statements,"Standards Track, Draft"
694,Upload 2.0 API for Python Package Indexes,"Standards Track, Draft"
710,Recording the provenance of installed packages,"Standards Track, Draft"
711,PyBI: a standard format for distributing Python Binaries,"Standards Track, Draft"
718,Subscriptable functions,"Standards Track, Draft"
720,Cross-compiling Python packages,"Informational, Draft"
725,Specifying external dependencies in pyproject.toml,"Standards Track, Draft"
727,Documentation in Annotated Metadata,"Standards Track, Draft"
728,TypedDict with Typed Extra Items,"Standards Track, Draft"
736,Shorthand syntax for keyword arguments at invocation,"Standards Track, Draft"
739,build-details.json 1.0 — a static description file for Python build details,"Standards Track, Draft"
743,Add Py_COMPAT_API_VERSION to the Python C API,"Standards Track, Draft"
744,JIT Compilation,"Informational, Draft"
746,Type checking Annotated metadata,"Standards Track, Draft"
747,Annotating Type Forms,"Standards Track, Draft"
748,A Unified TLS API for Python,"Standards Track, Draft"
749,Implementing PEP 649,"Standards Track, Draft"
750,Template Strings,"Standards Track, Draft"
751,A file format to record Python dependencies for installation reproducibility,"Standards Track, Draft"
752,Implicit namespaces for package repositories,"Standards Track, Draft"
755,Implicit namespace policy for PyPI,"Process, Draft"
758,Allow except and except* expressions without parentheses,"Standards Track, Draft"
759,External Wheel Hosting,"Standards Track, Draft"
763,Limiting deletions on PyPI,"Standards Track, Draft"
765,Disallow return/break/continue that exit a finally block,"Standards Track, Draft"
766,Explicit Priority Choices Among Multiple Indexes,"Informational, Draft"
767,Annotating Read-Only Attributes,"Standards Track, Draft"
768,Safe external debugger interface for CPython,"Standards Track, Draft"
769,"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’","Standards Track, Draft"
770,Improving measurability of Python packages with Software Bill-of-Materials,"Standards Track, Draft"
771,Default Extras for Python Software Packages,"Standards Track, Draft"
773,A Python Installation Manager for Windows,"Standards Track, Draft"
777,How to Re-invent the Wheel,"Standards Track, Draft"
789,Preventing task-cancellation bugs by limiting yield in async generators,"Standards Track, Draft"
2026,Calendar versioning for Python,"Process, Draft"
100,Python Unicode Integration,"Standards Track, Final"
201,Lockstep Iteration,"Standards Track, Final"
202,List Comprehensions,"Standards Track, Final"
203,Augmented Assignments,"Standards Track, Final"
205,Weak References,"Standards Track, Final"
207,Rich Comparisons,"Standards Track, Final"
208,Reworking the Coercion Model,"Standards Track, Final"
214,Extended Print Statement,"Standards Track, Final"
217,Display Hook for Interactive Use,"Standards Track, Final"
218,Adding a Built-In Set Object Type,"Standards Track, Final"
221,Import As,"Standards Track, Final"
223,Change the Meaning of x Escapes,"Standards Track, Final"
227,Statically Nested Scopes,"Standards Track, Final"
229,Using Distutils to Build Python,"Standards Track, Final"
230,Warning Framework,"Standards Track, Final"
232,Function Attributes,"Standards Track, Final"
234,Iterators,"Standards Track, Final"
235,Import on Case-Insensitive Platforms,"Standards Track, Final"
236,Back to the __future__,"Standards Track, Final"
237,Unifying Long Integers and Integers,"Standards Track, Final"
238,Changing the Division Operator,"Standards Track, Final"
250,Using site-packages on Windows,"Standards Track, Final"
252,Making Types Look More Like Classes,"Standards Track, Final"
253,Subtyping Built-in Types,"Standards Track, Final"
255,Simple Generators,"Standards Track, Final"
260,Simplify xrange(),"Standards Track, Final"
261,Support for “wide” Unicode characters,"Standards Track, Final"
263,Defining Python Source Code Encodings,"Standards Track, Final"
264,Future statements in simulated shells,"Standards Track, Final"
273,Import Modules from Zip Archives,"Standards Track, Final"
274,Dict Comprehensions,"Standards Track, Final"
277,Unicode file name support for Windows NT,"Standards Track, Final"
278,Universal Newline Support,"Standards Track, Final"
279,The enumerate() built-in function,"Standards Track, Final"
282,A Logging System,"Standards Track, Final"
285,Adding a bool type,"Standards Track, Final"
289,Generator Expressions,"Standards Track, Final"
292,Simpler String Substitutions,"Standards Track, Final"
293,Codec Error Handling Callbacks,"Standards Track, Final"
301,Package Index and Metadata for Distutils,"Standards Track, Final"
302,New Import Hooks,"Standards Track, Final"
305,CSV File API,"Standards Track, Final"
307,Extensions to the pickle protocol,"Standards Track, Final"
308,Conditional Expressions,"Standards Track, Final"
309,Partial Function Application,"Standards Track, Final"
311,Simplified Global Interpreter Lock Acquisition for Extensions,"Standards Track, Final"
318,Decorators for Functions and Methods,"Standards Track, Final"
322,Reverse Iteration,"Standards Track, Final"
324,subprocess - New process module,"Standards Track, Final"
327,Decimal Data Type,"Standards Track, Final"
328,Imports: Multi-Line and Absolute/Relative,"Standards Track, Final"
331,Locale-Independent Float/String Conversions,"Standards Track, Final"
338,Executing modules as scripts,"Standards Track, Final"
341,Unifying try-except and try-finally,"Standards Track, Final"
342,Coroutines via Enhanced Generators,"Standards Track, Final"
343,The “with” Statement,"Standards Track, Final"
352,Required Superclass for Exceptions,"Standards Track, Final"
353,Using ssize_t as the index type,"Standards Track, Final"
357,Allowing Any Object to be Used for Slicing,"Standards Track, Final"
358,The “bytes” Object,"Standards Track, Final"
362,Function Signature Object,"Standards Track, Final"
366,Main module explicit relative imports,"Standards Track, Final"
370,Per user site-packages directory,"Standards Track, Final"
371,Addition of the multiprocessing package to the standard library,"Standards Track, Final"
372,Adding an ordered dictionary to collections,"Standards Track, Final"
376,Database of Installed Python Distributions,"Standards Track, Final"
378,Format Specifier for Thousands Separator,"Standards Track, Final"
380,Syntax for Delegating to a Subgenerator,"Standards Track, Final"
383,Non-decodable Bytes in System Character Interfaces,"Standards Track, Final"
384,Defining a Stable ABI,"Standards Track, Final"
389,argparse - New Command Line Parsing Module,"Standards Track, Final"
391,Dictionary-Based Configuration For Logging,"Standards Track, Final"
393,Flexible String Representation,"Standards Track, Final"
397,Python launcher for Windows,"Standards Track, Final"
405,Python Virtual Environments,"Standards Track, Final"
409,Suppressing exception context,"Standards Track, Final"
412,Key-Sharing Dictionary,"Standards Track, Final"
414,Explicit Unicode Literal for Python 3.3,"Standards Track, Final"
415,Implement context suppression with exception attributes,"Standards Track, Final"
417,Including mock in the Standard Library,"Standards Track, Final"
418,"Add monotonic time, performance counter, and process time functions","Standards Track, Final"
420,Implicit Namespace Packages,"Standards Track, Final"
421,Adding sys.implementation,"Standards Track, Final"
424,A method for exposing a length hint,"Standards Track, Final"
425,Compatibility Tags for Built Distributions,"Standards Track, Final"
427,The Wheel Binary Package Format 1.0,"Standards Track, Final"
428,The pathlib module – object-oriented filesystem paths,"Standards Track, Final"
435,Adding an Enum type to the Python standard library,"Standards Track, Final"
436,The Argument Clinic DSL,"Standards Track, Final"
440,Version Identification and Dependency Specification,"Standards Track, Final"
441,Improving Python ZIP Application Support,"Standards Track, Final"
442,Safe object finalization,"Standards Track, Final"
443,Single-dispatch generic functions,"Standards Track, Final"
445,Add new APIs to customize Python memory allocators,"Standards Track, Final"
446,Make newly created file descriptors non-inheritable,"Standards Track, Final"
448,Additional Unpacking Generalizations,"Standards Track, Final"
450,Adding A Statistics Module To The Standard Library,"Standards Track, Final"
451,A ModuleSpec Type for the Import System,"Standards Track, Final"
453,Explicit bootstrapping of pip in Python installations,"Standards Track, Final"
454,Add a new tracemalloc module to trace Python memory allocations,"Standards Track, Final"
456,Secure and interchangeable hash algorithm,"Standards Track, Final"
461,Adding % formatting to bytes and bytearray,"Standards Track, Final"
465,A dedicated infix operator for matrix multiplication,"Standards Track, Final"
466,Network Security Enhancements for Python 2.7.x,"Standards Track, Final"
468,Preserving the order of **kwargs in a function.,"Standards Track, Final"
471,os.scandir() function – a better and faster directory iterator,"Standards Track, Final"
475,Retry system calls failing with EINTR,"Standards Track, Final"
476,Enabling certificate verification by default for stdlib http clients,"Standards Track, Final"
477,Backport ensurepip (PEP 453) to Python 2.7,"Standards Track, Final"
479,Change StopIteration handling inside generators,"Standards Track, Final"
484,Type Hints,"Standards Track, Final"
485,A Function for testing approximate equality,"Standards Track, Final"
486,Make the Python Launcher aware of virtual environments,"Standards Track, Final"
487,Simpler customisation of class creation,"Standards Track, Final"
488,Elimination of PYO files,"Standards Track, Final"
489,Multi-phase extension module initialization,"Standards Track, Final"
492,Coroutines with async and await syntax,"Standards Track, Final"
493,HTTPS verification migration tools for Python 2.7,"Standards Track, Final"
495,Local Time Disambiguation,"Standards Track, Final"
498,Literal String Interpolation,"Standards Track, Final"
503,Simple Repository API,"Standards Track, Final"
506,Adding A Secrets Module To The Standard Library,"Standards Track, Final"
508,Dependency specification for Python Software Packages,"Standards Track, Final"
515,Underscores in Numeric Literals,"Standards Track, Final"
517,A build-system independent format for source trees,"Standards Track, Final"
518,Specifying Minimum Build System Requirements for Python Projects,"Standards Track, Final"
519,Adding a file system path protocol,"Standards Track, Final"
520,Preserving Class Attribute Definition Order,"Standards Track, Final"
523,Adding a frame evaluation API to CPython,"Standards Track, Final"
524,Make os.urandom() blocking on Linux,"Standards Track, Final"
525,Asynchronous Generators,"Standards Track, Final"
526,Syntax for Variable Annotations,"Standards Track, Final"
527,Removing Un(der)used file types/extensions on PyPI,"Standards Track, Final"
528,Change Windows console encoding to UTF-8,"Standards Track, Final"
529,Change Windows filesystem encoding to UTF-8,"Standards Track, Final"
530,Asynchronous Comprehensions,"Standards Track, Final"
538,Coercing the legacy C locale to a UTF-8 based locale,"Standards Track, Final"
539,A New C-API for Thread-Local Storage in CPython,"Standards Track, Final"
540,Add a new UTF-8 Mode,"Standards Track, Final"
544,Protocols: Structural subtyping (static duck typing),"Standards Track, Final"
552,Deterministic pycs,"Standards Track, Final"
553,Built-in breakpoint(),"Standards Track, Final"
557,Data Classes,"Standards Track, Final"
560,Core support for typing module and generic types,"Standards Track, Final"
561,Distributing and Packaging Type Information,"Standards Track, Final"
562,Module __getattr__ and __dir__,"Standards Track, Final"
564,Add new time functions with nanosecond resolution,"Standards Track, Final"
565,Show DeprecationWarning in __main__,"Standards Track, Final"
566,Metadata for Python Software Packages 2.1,"Standards Track, Final"
567,Context Variables,"Standards Track, Final"
570,Python Positional-Only Parameters,"Standards Track, Final"
572,Assignment Expressions,"Standards Track, Final"
573,Module State Access from C Extension Methods,"Standards Track, Final"
574,Pickle protocol 5 with out-of-band data,"Standards Track, Final"
578,Python Runtime Audit Hooks,"Standards Track, Final"
584,Add Union Operators To dict,"Standards Track, Final"
585,Type Hinting Generics In Standard Collections,"Standards Track, Final"
586,Literal Types,"Standards Track, Final"
587,Python Initialization Configuration,"Standards Track, Final"
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,"Standards Track, Final"
591,Adding a final qualifier to typing,"Standards Track, Final"
592,Adding “Yank” Support to the Simple API,"Standards Track, Final"
593,Flexible function and variable annotations,"Standards Track, Final"
594,Removing dead batteries from the standard library,"Standards Track, Final"
597,Add optional EncodingWarning,"Standards Track, Final"
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,"Standards Track, Final"
604,Allow writing union types as X | Y,"Standards Track, Final"
610,Recording the Direct URL Origin of installed distributions,"Standards Track, Final"
612,Parameter Specification Variables,"Standards Track, Final"
613,Explicit Type Aliases,"Standards Track, Final"
614,Relaxing Grammar Restrictions On Decorators,"Standards Track, Final"
615,Support for the IANA Time Zone Database in the Standard Library,"Standards Track, Final"
616,String methods to remove prefixes and suffixes,"Standards Track, Final"
617,New PEG parser for CPython,"Standards Track, Final"
618,Add Optional Length-Checking To zip,"Standards Track, Final"
621,Storing project metadata in pyproject.toml,"Standards Track, Final"
623,Remove wstr from Unicode,"Standards Track, Final"
624,Remove Py_UNICODE encoder APIs,"Standards Track, Final"
626,Precise line numbers for debugging and other tools.,"Standards Track, Final"
627,Recording installed projects,"Standards Track, Final"
628,Add math.tau,"Standards Track, Final"
629,Versioning PyPI’s Simple API,"Standards Track, Final"
632,Deprecate distutils module,"Standards Track, Final"
634,Structural Pattern Matching: Specification,"Standards Track, Final"
643,Metadata for Package Source Distributions,"Standards Track, Final"
644,Require OpenSSL 1.1.1 or newer,"Standards Track, Final"
646,Variadic Generics,"Standards Track, Final"
647,User-Defined Type Guards,"Standards Track, Final"
652,Maintaining the Stable ABI,"Standards Track, Final"
654,Exception Groups and except*,"Standards Track, Final"
655,Marking individual TypedDict items as required or potentially-missing,"Standards Track, Final"
656,Platform Tag for Linux Distributions Using Musl,"Standards Track, Final"
657,Include Fine Grained Error Locations in Tracebacks,"Standards Track, Final"
660,Editable installs for pyproject.toml based builds (wheel based),"Standards Track, Final"
667,Consistent views of namespaces,"Standards Track, Final"
669,Low Impact Monitoring for CPython,"Standards Track, Final"
670,Convert macros to functions in the Python C API,"Standards Track, Final"
673,Self Type,"Standards Track, Final"
675,Arbitrary Literal String Type,"Standards Track, Final"
678,Enriching Exceptions with Notes,"Standards Track, Final"
680,tomllib: Support for Parsing TOML in the Standard Library,"Standards Track, Final"
681,Data Class Transforms,"Standards Track, Final"
682,Format Specifier for Signed Zero,"Standards Track, Final"
683,"Immortal Objects, Using a Fixed Refcount","Standards Track, Final"
684,A Per-Interpreter GIL,"Standards Track, Final"
688,Making the buffer protocol accessible in Python,"Standards Track, Final"
689,Unstable C API tier,"Standards Track, Final"
692,Using TypedDict for more precise **kwargs typing,"Standards Track, Final"
695,Type Parameter Syntax,"Standards Track, Final"
696,Type Defaults for Type Parameters,"Standards Track, Final"
697,Limited C API for Extending Opaque Types,"Standards Track, Final"
698,Override Decorator for Static Typing,"Standards Track, Final"
700,Additional Fields for the Simple API for Package Indexes,"Standards Track, Final"
702,Marking deprecations using the type system,"Standards Track, Final"
705,TypedDict: Read-only items,"Standards Track, Final"
706,Filter for tarfile.extractall,"Standards Track, Final"
709,Inlined comprehensions,"Standards Track, Final"
715,Disabling bdist_egg distribution uploads on PyPI,"Standards Track, Final"
721,Using tarfile.data_filter for source distribution extraction,"Standards Track, Final"
723,Inline script metadata,"Standards Track, Final"
730,Adding iOS as a supported platform,"Standards Track, Final"
735,Dependency Groups in pyproject.toml,"Standards Track, Final"
737,C API to format a type fully qualified name,"Standards Track, Final"
738,Adding Android as a supported platform,"Standards Track, Final"
740,Index support for digital attestations,"Standards Track, Final"
741,Python Configuration C API,"Standards Track, Final"
742,Narrowing types with TypeIs,"Standards Track, Final"
757,C API to import-export Python integers,"Standards Track, Final"
3101,Advanced String Formatting,"Standards Track, Final"
3102,Keyword-Only Arguments,"Standards Track, Final"
3104,Access to Names in Outer Scopes,"Standards Track, Final"
3105,Make print a function,"Standards Track, Final"
3106,"Revamping dict.keys(), .values() and .items()","Standards Track, Final"
3107,Function Annotations,"Standards Track, Final"
3108,Standard Library Reorganization,"Standards Track, Final"
3109,Raising Exceptions in Python 3000,"Standards Track, Final"
3110,Catching Exceptions in Python 3000,"Standards Track, Final"
3111,Simple input built-in in Python 3000,"Standards Track, Final"
3112,Bytes literals in Python 3000,"Standards Track, Final"
3113,Removal of Tuple Parameter Unpacking,"Standards Track, Final"
3114,Renaming iterator.next() to iterator.__next__(),"Standards Track, Final"
3115,Metaclasses in Python 3000,"Standards Track, Final"
3116,New I/O,"Standards Track, Final"
3118,Revising the buffer protocol,"Standards Track, Final"
3119,Introducing Abstract Base Classes,"Standards Track, Final"
3120,Using UTF-8 as the default source encoding,"Standards Track, Final"
3121,Extension Module Initialization and Finalization,"Standards Track, Final"
3123,Making PyObject_HEAD conform to standard C,"Standards Track, Final"
3127,Integer Literal Support and Syntax,"Standards Track, Final"
3129,Class Decorators,"Standards Track, Final"
3131,Supporting Non-ASCII Identifiers,"Standards Track, Final"
3132,Extended Iterable Unpacking,"Standards Track, Final"
3134,Exception Chaining and Embedded Tracebacks,"Standards Track, Final"
3135,New Super,"Standards Track, Final"
3137,Immutable Bytes and Mutable Buffer,"Standards Track, Final"
3138,String representation in Python 3000,"Standards Track, Final"
3141,A Type Hierarchy for Numbers,"Standards Track, Final"
3144,IP Address Manipulation Library for the Python Standard Library,"Standards Track, Final"
3147,PYC Repository Directories,"Standards Track, Final"
3148,futures - execute computations asynchronously,"Standards Track, Final"
3149,ABI version tagged .so files,"Standards Track, Final"
3151,Reworking the OS and IO exception hierarchy,"Standards Track, Final"
3154,Pickle protocol version 4,"Standards Track, Final"
3155,Qualified name for classes and functions,"Standards Track, Final"
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,"Standards Track, Final"
5,Guidelines for Language Evolution,"Process, Superseded"
6,Bug Fix Releases,"Process, Superseded"
160,Python 1.6 Release Schedule,"Informational, Final"
200,Python 2.0 Release Schedule,"Informational, Final"
226,Python 2.1 Release Schedule,"Informational, Final"
251,Python 2.2 Release Schedule,"Informational, Final"
283,Python 2.3 Release Schedule,"Informational, Final"
320,Python 2.4 Release Schedule,"Informational, Final"
347,Migrating the Python CVS to Subversion,"Process, Final"
356,Python 2.5 Release Schedule,"Informational, Final"
360,Externally Maintained Packages,"Process, Final"
361,Python 2.6 and 3.0 Release Schedule,"Informational, Final"
373,Python 2.7 Release Schedule,"Informational, Final"
374,Choosing a distributed VCS for the Python project,"Process, Final"
375,Python 3.1 Release Schedule,"Informational, Final"
385,Migrating from Subversion to Mercurial,"Process, Final"
392,Python 3.2 Release Schedule,"Informational, Final"
398,Python 3.3 Release Schedule,"Informational, Final"
404,Python 2.8 Un-release Schedule,"Informational, Final"
429,Python 3.4 Release Schedule,"Informational, Final"
438,Transitioning to release-file hosting on PyPI,"Process, Superseded"
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,"Process, Final"
464,Removal of the PyPI Mirror Authenticity API,"Process, Final"
470,Removing External Hosting Support on PyPI,"Process, Final"
478,Python 3.5 Release Schedule,"Informational, Final"
494,Python 3.6 Release Schedule,"Informational, Final"
512,Migrating from hg.python.org to GitHub,"Process, Final"
537,Python 3.7 Release Schedule,"Informational, Final"
541,Package Index Name Retention,"Process, Final"
569,Python 3.8 Release Schedule,"Informational, Final"
581,Using GitHub Issues for CPython,"Process, Final"
3000,Python 3000,"Process, Final"
3002,Procedure for Backwards-Incompatible Changes,"Process, Final"
3003,Python Language Moratorium,"Process, Final"
3099,Things that will Not Change in Python 3000,"Process, Final"
3100,Miscellaneous Python 3.0 Plans,"Process, Final"
8001,Python Governance Voting Process,"Process, Final"
213,Attribute Access Handlers,"Standards Track, Deferred"
219,Stackless Python,"Standards Track, Deferred"
222,Web Library Enhancements,"Standards Track, Deferred"
233,Python Online Help,"Standards Track, Deferred"
267,Optimized Access to Module Namespaces,"Standards Track, Deferred"
269,Pgen Module for Python,"Standards Track, Deferred"
280,Optimizing access to globals,"Standards Track, Deferred"
286,Enhanced Argument Tuples,"Standards Track, Deferred"
312,Simple Implicit Lambda,"Standards Track, Deferred"
316,Programming by Contract for Python,"Standards Track, Deferred"
323,Copyable Iterators,"Standards Track, Deferred"
337,Logging Usage in the Standard Library,"Standards Track, Deferred"
368,Standard image protocol and class,"Standards Track, Deferred"
400,Deprecate codecs.StreamReader and codecs.StreamWriter,"Standards Track, Deferred"
403,General purpose decorator clause (aka “@in” clause),"Standards Track, Deferred"
407,New release cycle and introducing long-term support versions,"Process, Deferred"
419,Protecting cleanup statements from interruptions,"Standards Track, Deferred"
423,Naming conventions and recipes related to packaging,"Informational, Deferred"
444,Python Web3 Interface,"Informational, Deferred"
447,Add __getdescriptor__ method to metaclass,"Standards Track, Deferred"
491,The Wheel Binary Package Format 1.9,"Standards Track, Deferred"
499,python -m foo should also bind ‘foo’ in sys.modules,"Standards Track, Deferred"
505,None-aware operators,"Standards Track, Deferred"
532,A circuit breaking protocol and binary operators,"Standards Track, Deferred"
533,Deterministic cleanup for iterators,"Standards Track, Deferred"
534,Improved Errors for Missing Standard Library Modules,"Standards Track, Deferred"
535,Rich comparison chaining,"Standards Track, Deferred"
547,Running extension modules using the -m option,"Standards Track, Deferred"
556,Threaded garbage collection,"Standards Track, Deferred"
568,Generator-sensitivity for Context Variables,"Standards Track, Deferred"
674,Disallow using macros as l-values,"Standards Track, Deferred"
734,Multiple Interpreters in the Stdlib,"Standards Track, Deferred"
3124,"Overloading, Generic Functions, Interfaces, and Adaptation","Standards Track, Deferred"
3143,Standard daemon process library,"Standards Track, Deferred"
3150,Statement local namespaces (aka “given” clause),"Standards Track, Deferred"
3,Guidelines for Handling Bug Reports,"Process, Withdrawn"
9,Sample Plaintext PEP Template,"Process, Withdrawn"
42,Feature Requests,"Process, Withdrawn"
102,Doing Python Micro Releases,"Informational, Superseded"
103,Collecting information about git,"Informational, Withdrawn"
204,Range Literals,"Standards Track, Rejected"
206,Python Advanced Library,"Informational, Withdrawn"
209,Multi-dimensional Arrays,"Standards Track, Withdrawn"
210,Decoupling the Interpreter Loop,"Standards Track, Rejected"
211,Adding A New Outer Product Operator,"Standards Track, Rejected"
212,Loop Counter Iteration,"Standards Track, Rejected"
215,String Interpolation,"Standards Track, Superseded"
216,Docstring Format,"Informational, Withdrawn"
220,"Coroutines, Generators, Continuations","Informational, Rejected"
224,Attribute Docstrings,"Standards Track, Rejected"
225,Elementwise/Objectwise Operators,"Standards Track, Rejected"
228,Reworking Python’s Numeric Model,"Standards Track, Withdrawn"
231,__findattr__(),"Standards Track, Rejected"
239,Adding a Rational Type to Python,"Standards Track, Rejected"
240,Adding a Rational Literal to Python,"Standards Track, Rejected"
241,Metadata for Python Software Packages,"Standards Track, Superseded"
242,Numeric Kinds,"Standards Track, Withdrawn"
243,Module Repository Upload Mechanism,"Standards Track, Withdrawn"
244,The directive statement,"Standards Track, Rejected"
245,Python Interface Syntax,"Standards Track, Rejected"
246,Object Adaptation,"Standards Track, Rejected"
254,Making Classes Look More Like Types,"Standards Track, Rejected"
256,Docstring Processing System Framework,"Standards Track, Rejected"
258,Docutils Design Specification,"Standards Track, Rejected"
259,Omit printing newline after newline,"Standards Track, Rejected"
262,A Database of Installed Python Packages,"Standards Track, Rejected"
265,Sorting Dictionaries by Value,"Standards Track, Rejected"
266,Optimizing Global Variable/Attribute Access,"Standards Track, Withdrawn"
268,Extended HTTP functionality and WebDAV,"Standards Track, Rejected"
270,uniq method for list objects,"Standards Track, Rejected"
271,Prefixing sys.path by command line option,"Standards Track, Rejected"
275,Switching on Multiple Values,"Standards Track, Rejected"
276,Simple Iterator for ints,"Standards Track, Rejected"
281,Loop Counter Iteration with range and xrange,"Standards Track, Rejected"
284,Integer for-loops,"Standards Track, Rejected"
288,Generators Attributes and Exceptions,"Standards Track, Withdrawn"
291,Backward Compatibility for the Python 2 Standard Library,"Informational, Superseded"
294,Type Names in the types Module,"Standards Track, Rejected"
295,Interpretation of multiline string constants,"Standards Track, Rejected"
296,Adding a bytes Object Type,"Standards Track, Withdrawn"
297,Support for System Upgrades,"Standards Track, Rejected"
298,The Locked Buffer Interface,"Standards Track, Withdrawn"
299,Special __main__() function in modules,"Standards Track, Rejected"
303,Extend divmod() for Multiple Divisors,"Standards Track, Rejected"
304,Controlling Generation of Bytecode Files,"Standards Track, Withdrawn"
306,How to Change Python’s Grammar,"Informational, Withdrawn"
310,Reliable Acquisition/Release Pairs,"Standards Track, Rejected"
313,Adding Roman Numeral Literals to Python,"Standards Track, Rejected"
314,Metadata for Python Software Packages 1.1,"Standards Track, Superseded"
315,Enhanced While Loop,"Standards Track, Rejected"
317,Eliminate Implicit Exception Instantiation,"Standards Track, Rejected"
